Week,Workout,Gym Exercise,Travel Exercise,# Sets
1,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
1,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
1,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
1,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
1,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
1,Upper Body A,Plank Hold,Plank Hold,3
1,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
1,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
1,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
1,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
1,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
1,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
1,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
1,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
1,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
1,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
1,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
1,Upper Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
1,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
1,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
1,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
1,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
1,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
2,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
2,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
2,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
2,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
2,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
2,Upper Body A,Plank Hold,Plank Hold,3
2,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
2,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
2,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
2,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
2,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
2,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
2,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
2,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
2,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
2,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
2,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
2,Upper Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
2,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
2,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
2,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
2,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
2,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
3,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
3,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
3,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
3,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
3,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
3,Upper Body A,Plank Hold,Plank Hold,3
3,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
3,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
3,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
3,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
3,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
3,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
3,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
3,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
3,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
3,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
3,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
3,Upper Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
3,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
3,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
3,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
